the	/ðə/
country	/ˈkʌntri/
help	/hɛlp/
talk	/tɔk/
where	/wɛr/
turn	/tɜrn/
problem	/ˈprɑbləm/
every	/ˈɛvri/
start	/stɑrt/
hand	/hænd/
might	/maɪt/
american	/əˈmɛrɪkən/
show	/ʃoʊ/
part	/pɑrt/
against	/əˈɡɛnst/
place	/pleɪs/
such	/sʌtʃ/
again	/əˈɡɛn/
few	/fju/
case	/keɪs/
week	/wik/
company	/ˈkʌmpəni/
system	/ˈsɪstəm/
each	/itʃ/
right	/raɪt/
program	/ˈproʊɡræm/
hear	/hɪr/
question	/ˈkwɛstʃən/
during	/ˈdʊrɪŋ/
play	/pleɪ/
government	/ˈɡʌvərnmənt/
run	/rʌn/
small	/smɔl/
number	/ˈnʌmbər/
off	/ɔf/
always	/ˈɔlweɪz/
move	/muv/
night	/naɪt/
live	/lɪv/
point	/pɔɪnt/
believe	/bɪˈliv/
hold	/hoʊld/
today	/təˈdeɪ/
bring	/brɪŋ/
happen	/ˈhæpən/
next	/nɛkst/
without	/wɪˈθaʊt/
before	/bɪˈfɔr/
large	/lɑrdʒ/
million	/ˈmɪljən/
must	/mʌst/
home	/hoʊm/
under	/ˈʌndər/
water	/ˈwɔtər/
room	/rum/
write	/raɪt/
mother	/ˈmʌðər/
area	/ˈɛriə/
national	/ˈnæʃənəl/
money	/ˈmʌni/
story	/ˈstɔri/
young	/jʌŋ/
fact	/fækt/
month	/mʌnθ/
different	/ˈdɪfərənt/
lot	/lɑt/
study	/ˈstʌdi/
book	/bʊk/
eye	/aɪ/
job	/dʒɑb/
word	/wɜrd/
though	/ðoʊ/
business	/ˈbɪznɪs/
four	/fɔr/
issue	/ˈɪʃu/
side	/saɪd/
kind	/kaɪnd/
head	/hɛd/
far	/fɑr/
black	/blæk/
long	/lɔŋ/
both	/boʊθ/
little	/ˈlɪtl/
house	/haʊs/
yes	/jɛs/
since	/sɪns/
provide	/prəˈvaɪd/
service	/ˈsɜrvɪs/
around	/əˈraʊnd/
friend	/frɛnd/
important	/ɪmˈpɔrtənt/
father	/ˈfɑðər/
sit	/sɪt/
away	/əˈweɪ/
until	/ənˈtɪl/
power	/ˈpaʊər/
hour	/ˈaʊər/
game	/ɡeɪm/
often	/ˈɔfən/
yet	/jɛt/
line	/laɪn/
political	/pəˈlɪtɪkəl/
end	/ɛnd/
among	/əˈmʌŋ/
ever	/ˈɛvər/
stand	/stænd/
bad	/bæd/
lose	/luz/
however	/haʊˈɛvər/
member	/ˈmɛmbər/
pay	/peɪ/
law	/lɔ/
meet	/mit/
car	/kɑr/
city	/ˈsɪti/
almost	/ˈɔlmoʊst/
include	/ɪnˈklud/
continue	/kənˈtɪnju/
set	/sɛt/
later	/ˈleɪtər/
community	/kəˈmjunɪti/
name	/neɪm/
five	/faɪv/
once	/wʌns/
white	/waɪt/
least	/list/
president	/ˈprɛzɪdənt/
learn	/lɜrn/
real	/ˈriəl/
change	/tʃeɪndʒ/
team	/tim/
minute	/ˈmɪnɪt/
best	/bɛst/
several	/ˈsɛvərəl/
idea	/aɪˈdiə/
kid	/kɪd/
body	/ˈbɑdi/
information	/ˌɪnfərˈmeɪʃən/
nothing	/ˈnʌθɪŋ/
ago	/əˈɡoʊ/
lead	/lid/
social	/ˈsoʊʃəl/
understand	/ˌʌndərˈstænd/
whether	/ˈwɛðər/
watch	/wɑtʃ/
together	/təˈɡɛðər/
follow	/ˈfɑloʊ/
parent	/ˈpɛrənt/
stop	/stɑp/
face	/feɪs/
anything	/ˈɛniˌθɪŋ/
create	/kriˈeɪt/
public	/ˈpʌblɪk/
already	/ɔlˈrɛdi/
speak	/spik/
others	/ˈʌðərz/
read	/rid/
level	/ˈlɛvəl/
allow	/əˈlaʊ/
add	/æd/
office	/ˈɔfɪs/
spend	/spɛnd/
door	/dɔr/
health	/hɛlθ/
person	/ˈpɜrsən/
art	/ɑrt/
sure	/ʃʊr/
war	/wɔr/
history	/ˈhɪstəri/
party	/ˈpɑrti/
within	/wɪˈðɪn/
grow	/ɡroʊ/
result	/rɪˈzʌlt/
open	/ˈoʊpən/
morning	/ˈmɔrnɪŋ/
walk	/wɔk/
reason	/ˈrizən/
low	/loʊ/
win	/wɪn/
research	/ˈriˌsɜrtʃ/
girl	/ɡɜrl/
guy	/ɡaɪ/
early	/ˈɜrli/
food	/fud/
himself	/hɪmˈsɛlf/
moment	/ˈmoʊmənt/
air	/ɛr/
teacher	/ˈtitʃər/
force	/fɔrs/
offer	/ˈɔfər/
enough	/ɪˈnʌf/
education	/ˌɛdʒuˈkeɪʃən/
across	/əˈkrɔs/
although	/ɔlˈðoʊ/
remember	/rɪˈmɛmbər/
foot	/fʊt/
second	/ˈsɛkənd/
boy	/bɔɪ/
maybe	/ˈmeɪbi/
toward	/tɔrd/
able	/ˈeɪbəl/
age	/eɪdʒ/
policy	/ˈpɑləsi/
everything	/ˈɛvriˌθɪŋ/
love	/lʌv/
process	/ˈprɑsɛs/
music	/ˈmjuzɪk/
including	/ɪnˈkludɪŋ/
consider	/kənˈsɪdər/
appear	/əˈpɪr/
actually	/ˈæktʃuəli/
buy	/baɪ/
probably	/ˈprɑbəbli/
human	/ˈhjumən/
wait	/weɪt/
serve	/sɜrv/
market	/ˈmɑrkɪt/
die	/daɪ/
send	/sɛnd/
expect	/ɪkˈspɛkt/
sense	/sɛns/
build	/bɪld/
stay	/steɪ/
fall	/fɔl/
oh	/oʊ/
nation	/ˈneɪʃən/
plan	/plæn/
cut	/kʌt/
college	/ˈkɑlɪdʒ/
interest	/ˈɪntrɪst/
death	/dɛθ/
course	/kɔrs/
someone	/ˈsʌmˌwʌn/
experience	/ɪkˈspɪriəns/
behind	/bɪˈhaɪnd/
reach	/ritʃ/
local	/ˈloʊkəl/
six	/sɪks/
kill	/kɪl/
remain	/rɪˈmeɪn/
effect	/ɪˈfɛkt/
yeah	/jæ/
suggest	/səɡˈdʒɛst/
class	/klæs/
control	/kənˈtroʊl/
raise	/reɪz/
care	/kɛr/
perhaps	/pərˈhæps/
late	/leɪt/
hard	/hɑrd/
field	/fild/
else	/ɛls/
pass	/pæs/
former	/ˈfɔrmər/
sell	/sɛl/
major	/ˈmeɪdʒər/
sometimes	/ˈsʌmˌtaɪmz/
require	/rɪˈkwaɪr/
along	/əˈlɔŋ/
development	/dɪˈvɛləpmənt/
themselves	/ðɛmˈsɛlvz/
report	/rɪˈpɔrt/
role	/roʊl/
better	/ˈbɛtər/
economic	/ˌɛkəˈnɑmɪk/
effort	/ˈɛfərt/
decide	/dɪˈsaɪd/
rate	/reɪt/
strong	/strɔŋ/
possible	/ˈpɑsəbəl/
heart	/hɑrt/
drug	/drʌɡ/
leader	/ˈlidər/
light	/laɪt/
voice	/vɔɪs/
wife	/waɪf/
whole	/hoʊl/
police	/pəˈlis/
mind	/maɪnd/
finally	/ˈfaɪnəli/
pull	/pʊl/
return	/rɪˈtɜrn/
free	/fri/
military	/ˈmɪləˌtɛri/
price	/praɪs/
less	/lɛs/
according	/əˈkɔrdɪŋ/
decision	/dɪˈsɪʒən/
explain	/ɪkˈspleɪn/
son	/sʌn/
hope	/hoʊp/
develop	/dɪˈvɛləp/
view	/vju/
relationship	/rɪˈleɪʃənˌʃɪp/
carry	/ˈkæri/
town	/taʊn/
road	/roʊd/
drive	/draɪv/
arm	/ɑrm/
true	/tru/
federal	/ˈfɛdərəl/
break	/breɪk/
difference	/ˈdɪfərəns/
receive	/rɪˈsiv/
thank	/θæŋk/
value	/ˈvælju/
international	/ˌɪntərˈnæʃənəl/
building	/ˈbɪldɪŋ/
action	/ˈækʃən/
full	/fʊl/
model	/ˈmɑdəl/
join	/dʒɔɪn/
season	/ˈsizən/
society	/səˈsaɪəti/
tax	/tæks/
director	/dəˈrɛktər/
position	/pəˈzɪʃən/
player	/ˈpleɪər/
agree	/əˈɡri/
especially	/ɪˈspɛʃəli/
record	/ˈrɛkərd/
pick	/pɪk/
wear	/wɛr/
paper	/ˈpeɪpər/
special	/ˈspɛʃəl/
space	/speɪs/
ground	/ɡraʊnd/
form	/fɔrm/
support	/səˈpɔrt/
event	/ɪˈvɛnt/
official	/əˈfɪʃəl/
whose	/huz/
matter	/ˈmætər/
everyone	/ˈɛvriˌwʌn/
center	/ˈsɛntər/
couple	/ˈkʌpəl/
site	/saɪt/
project	/ˈprɑdʒɛkt/
hit	/hɪt/
base	/beɪs/
activity	/ækˈtɪvɪti/
star	/stɑr/
table	/ˈteɪbəl/
court	/kɔrt/
produce	/prəˈdus/
eat	/it/
teach	/titʃ/
oil	/ɔɪl/
half	/hæf/
situation	/ˌsɪtʃuˈeɪʃən/
easy	/ˈiːzi/
cost	/kɔːst/
industry	/ˈɪndəstri/
figure	/ˈfɪɡjər/
street	/striːt/
image	/ˈɪmɪdʒ/
itself	/ɪtˈsɛlf/
phone	/foʊn/
either	/ˈiːðər/
data	/ˈdeɪtə/
cover	/ˈkʌvər/
quite	/kwaɪt/
picture	/ˈpɪktʃər/
clear	/klɪr/
practice	/ˈpræktɪs/
piece	/piːs/
land	/lænd/
recent	/ˈriːsənt/
describe	/dɪˈskraɪb/
product	/ˈprɑːdʌkt/
doctor	/ˈdɑːktər/
wall	/wɔːl/
patient	/ˈpeɪʃənt/
worker	/ˈwɜːrkər/
news	/nuːz/
test	/tɛst/
movie	/ˈmuːvi/
certain	/ˈsɜːrtən/
north	/nɔːrθ/
personal	/ˈpɜːrsənəl/
simply	/ˈsɪmpli/
third	/θɜːrd/
technology	/tɛkˈnɑːlədʒi/
catch	/kætʃ/
step	/stɛp/
baby	/ˈbeɪbi/
computer	/kəmˈpjuːtər/
type	/taɪp/
attention	/əˈtɛnʃən/
draw	/drɔː/
film	/fɪlm/
republican	/rɪˈpʌblɪkən/
organization	/ˌɔːrɡənəˈzeɪʃən/
tree	/triː/
source	/sɔːrs/
red	/rɛd/
nearly	/ˈnɪrli/
choose	/tʃuːz/
cause	/kɔːz/
hair	/hɛr/
century	/ˈsɛntʃəri/
evidence	/ˈɛvɪdəns/
window	/ˈwɪndoʊ/
difficult	/ˈdɪfɪkʌlt/
listen	/ˈlɪsən/
soon	/suːn/
culture	/ˈkʌltʃər/
billion	/ˈbɪljən/
chance	/tʃæns/
brother	/ˈbrʌðər/
energy	/ˈɛnərdʒi/
realize	/ˈriːəlaɪz/
period	/ˈpɪriəd/
summer	/ˈsʌmər/
hundred	/ˈhʌndrəd/
available	/əˈveɪləbəl/
plant	/plænt/
likely	/ˈlaɪkli/
opportunity	/ˌɑːpərˈtuːnəti/
term	/tɜːrm/
short	/ʃɔːrt/
letter	/ˈlɛtər/
condition	/kənˈdɪʃən/
choice	/tʃɔɪs/
single	/ˈsɪŋɡəl/
rule	/ruːl/
daughter	/ˈdɔːtər/
administration	/ədˌmɪnɪˈstreɪʃən/
south	/saʊθ/
husband	/ˈhʌzbənd/
congress	/ˈkɑːŋɡrəs/
floor	/flɔːr/
campaign	/kæmˈpeɪn/
material	/məˈtɪriəl/
population	/ˌpɑːpjəˈleɪʃən/
economy	/ɪˈkɑːnəmi/
medical	/ˈmɛdɪkəl/
hospital	/ˈhɑːspɪtl/
church	/tʃɜːrtʃ/
close	/kloʊs/
risk	/rɪsk/
thousand	/ˈθaʊzənd/
current	/ˈkɜːrənt/
fire	/ˈfaɪər/
future	/ˈfjuːtʃər/
wrong	/rɔːŋ/
involve	/ɪnˈvɑːlv/
defense	/dɪˈfɛns/
behavior	/bɪˈheɪvjər/
anyone	/ˈɛniwʌn/
increase	/ɪnˈkriːs/
security	/sɪˈkjʊrəti/
myself	/maɪˈsɛlf/
bank	/bæŋk/
certainly	/ˈsɜːrtənli/
west	/wɛst/
sport	/spɔːrt/
board	/bɔːrd/
seek	/siːk/
per	/pɜːr/
subject	/ˈsʌbdʒɪkt/
officer	/ˈɔːfɪsər/
private	/ˈpraɪvɪt/
rest	/rɛst/
deal	/diːl/
performance	/pərˈfɔːrməns/
fight	/faɪt/
throw	/θroʊ/
top	/tɑːp/
quickly	/ˈkwɪkli/
past	/pæst/
goal	/ɡoʊl/
bed	/bɛd/
order	/ˈɔːrdər/
author	/ˈɔːθər/
fill	/fɪl/
represent	/ˌrɛprɪˈzɛnt/
focus	/ˈfoʊkəs/
foreign	/ˈfɔːrən/
drop	/drɑːp/
blood	/blʌd/
upon	/əˈpɑːn/
agency	/ˈeɪdʒənsi/
push	/pʊʃ/
nature	/ˈneɪtʃər/
color	/ˈkʌlər/
recently	/ˈriːsəntli/
store	/stɔːr/
reduce	/rɪˈduːs/
sound	/saʊnd/
note	/noʊt/
fine	/faɪn/
near	/nɪr/
movement	/ˈmuːvmənt/
page	/peɪdʒ/
enter	/ˈɛntər/
common	/ˈkɑːmən/
share	/ʃɛr/
poor	/pʊr/
natural	/ˈnætʃərəl/
race	/reɪs/
concern	/kənˈsɜːrn/
series	/ˈsɪriːz/
significant	/sɪɡˈnɪfɪkənt/
similar	/ˈsɪmələr/
hot	/hɑːt/
language	/ˈlæŋɡwɪdʒ/
usually	/ˈjuːʒuəli/
response	/rɪˈspɑːns/
dead	/dɛd/
rise	/raɪz/
animal	/ˈænɪməl/
factor	/ˈfæktər/
decade	/ˈdɛkeɪd/
article	/ˈɑːrtɪkəl/
shoot	/ʃuːt/
east	/iːst/
seven	/ˈsɛvən/
save	/seɪv/
artist	/ˈɑːrtɪst/
scene	/siːn/
eight	/eɪt/
stock	/stɑːk/
career	/kəˈrɪr/
despite	/dɪˈspaɪt/
central	/ˈsɛntrəl/
thus	/ðʌs/
treatment	/ˈtriːtmənt/
beyond	/biˈjɑːnd/
happy	/ˈhæpi/
exactly	/ɪɡˈzæktli/
protect	/prəˈtɛkt/
approach	/əˈproʊtʃ/
lie	/laɪ/
size	/saɪz/
dog	/dɔːɡ/
fund	/fʌnd/
serious	/ˈsɪriəs/
occur	/əˈkɜːr/
media	/ˈmiːdiə/
ready	/ˈrɛdi/
sign	/saɪn/
thought	/θɔːt/
list	/lɪst/
individual	/ˌɪndɪˈvɪdʒuəl/
simple	/ˈsɪmpəl/
quality	/ˈkwɑːləti/
pressure	/ˈprɛʃər/
accept	/əkˈsɛpt/
answer	/ˈænsər/
resource	/ˈriːsɔːrs/
identify	/aɪˈdɛntɪfaɪ/
left	/lɛft/
meeting	/ˈmiːtɪŋ/
determine	/dɪˈtɜːrmɪn/
prepare	/prɪˈpɛr/
disease	/dɪˈziːz/
whatever	/wʌtˈɛvər/
success	/səkˈsɛs/
argue	/ˈɑːrɡjuː/
recognize	/ˈrɛkəɡnaɪz/
cup	/kʌp/
particularly	/pərˈtɪkjələrli/
amount	/əˈmaʊnt/
ability	/əˈbɪləti/
staff	/stæf/
indicate	/ˈɪndɪkeɪt/
character	/ˈkærəktər/
growth	/ɡroʊθ/
loss	/lɔːs/
degree	/dɪˈɡriː/
wonder	/ˈwʌndər/
attack	/əˈtæk/
herself	/hɜːrˈsɛlf/
region	/ˈriːdʒən/
television	/ˈtɛləˌvɪʒən/
box	/bɑːks/
training	/ˈtreɪnɪŋ/
pretty	/ˈprɪti/
everybody	/ˈɛvriˌbɑːdi/
trade	/treɪd/
election	/ɪˈlɛkʃən/
physical	/ˈfɪzɪkəl/
lay	/leɪ/
general	/ˈdʒɛnərəl/
feeling	/ˈfiːlɪŋ/
standard	/ˈstændərd/
message	/ˈmɛsɪdʒ/
fail	/feɪl/
bill	/bɪl/
outside	/ˌaʊtˈsaɪd/
arrive	/əˈraɪv/
analysis	/əˈnælɪsɪs/
benefit	/ˈbɛnɪfɪt/
sex	/sɛks/
forward	/ˈfɔːrwərd/
lawyer	/ˈlɔɪər/
present	/ˈprɛzənt/
section	/ˈsɛkʃən/
environmental	/ɪnˌvaɪrənˈmɛntl/
glass	/ɡlæs/
skill	/skɪl/
sister	/ˈsɪstər/
pm	/ˌpiːˈɛm/
professor	/prəˈfɛsər/
operation	/ˌɑːpəˈreɪʃən/
financial	/faɪˈnænʃəl/
crime	/kraɪm/
stage	/steɪdʒ/
ok	/ˌoʊˈkeɪ/
compare	/kəmˈpɛr/
authority	/əˈθɔːrəti/
miss	/mɪs/
design	/dɪˈzaɪn/
sort	/sɔːrt/
act	/ækt/
ten	/tɛn/
knowledge	/ˈnɑːlɪdʒ/
gun	/ɡʌn/
station	/ˈsteɪʃən/
blue	/bluː/
strategy	/ˈstrætədʒi/
clearly	/ˈklɪrli/
discuss	/dɪˈskʌs/
indeed	/ɪnˈdiːd/
truth	/truːθ/
song	/sɔːŋ/
example	/ɪɡˈzæmpl/
democratic	/ˌdɛməˈkrætɪk/
check	/tʃɛk/
environment	/ɪnˈvaɪrənmənt/
leg	/lɛɡ/
dark	/dɑːrk/
various	/ˈvɛriəs/
rather	/ˈræðər/
laugh	/læf/
guess	/ɡɛs/
executive	/ɪɡˈzɛkjətɪv/
prove	/pruːv/
hang	/hæŋ/
entire	/ɪnˈtaɪər/
rock	/rɑːk/
forget	/fərˈɡɛt/
claim	/kleɪm/
remove	/rɪˈmuːv/
manager	/ˈmænɪdʒər/
enjoy	/ɪnˈdʒɔɪ/
network	/ˈnɛtwɜːrk/
legal	/ˈliːɡəl/
religious	/rɪˈlɪdʒəs/
cold	/koʊld/
final	/ˈfaɪnəl/
main	/meɪn/
science	/ˈsaɪəns/
green	/ɡriːn/
memory	/ˈmɛməri/
card	/kɑːrd/
above	/əˈbʌv/
seat	/siːt/
cell	/sɛl/
establish	/ɪˈstæblɪʃ/
nice	/naɪs/
trial	/ˈtraɪəl/
expert	/ˈɛkspɜːrt/
spring	/sprɪŋ/
firm	/fɜːrm/
democrat	/ˈdɛməˌkræt/
radio	/ˈreɪdioʊ/
visit	/ˈvɪzɪt/
management	/ˈmænɪdʒmənt/
avoid	/əˈvɔɪd/
imagine	/ɪˈmædʒɪn/
tonight	/təˈnaɪt/
huge	/hjuːdʒ/
ball	/bɔːl/
yourself	/jʊrˈsɛlf/
finish	/ˈfɪnɪʃ/
theory	/ˈθɪri/
impact	/ˈɪmpækt/
respond	/rɪˈspɑːnd/
statement	/ˈsteɪtmənt/
maintain	/meɪnˈteɪn/
charge	/tʃɑːrdʒ/
popular	/ˈpɑːpjələr/
traditional	/trəˈdɪʃənəl/
onto	/ˈɑːntuː/
reveal	/rɪˈviːl/
direction	/dəˈrɛkʃən/
weapon	/ˈwɛpən/
employee	/ɪmˈplɔɪiː/
contain	/kənˈteɪn/
cultural	/ˈkʌltʃərəl/
peace	/piːs/
pain	/peɪn/
apply	/əˈplaɪ/
wide	/waɪd/
measure	/ˈmɛʒər/
shake	/ʃeɪk/
fly	/flaɪ/
interview	/ˈɪntərˌvjuː/
manage	/ˈmænɪdʒ/
chair	/tʃɛr/
fish	/fɪʃ/
particular	/pərˈtɪkjələr/
camera	/ˈkæmərə/
structure	/ˈstrʌktʃər/
politics	/ˈpɑːlətɪks/
bit	/bɪt/
perform	/pərˈfɔːrm/
weight	/weɪt/
suddenly	/ˈsʌdnli/
discover	/dɪˈskʌvər/
candidate	/ˈkændɪdeɪt/
production	/prəˈdʌkʃən/
treat	/triːt/
evening	/ˈiːvnɪŋ/
trip	/trɪp/
affect	/əˈfɛkt/
inside	/ˌɪnˈsaɪd/
conference	/ˈkɑːnfərəns/
unit	/ˈjuːnɪt/
style	/staɪl/
adult	/ˈædʌlt/
worry	/ˈwɜːri/
mention	/ˈmɛnʃən/
range	/reɪndʒ/
deep	/diːp/
edge	/ɛdʒ/
specific	/spəˈsɪfɪk/
writer	/ˈraɪtər/
trouble	/ˈtrʌbəl/
necessary	/ˈnɛsəˌsɛri/
throughout	/θruːˈaʊt/
challenge	/ˈtʃælɪndʒ/
fear	/fɪr/
shoulder	/ˈʃoʊldər/
institution	/ˌɪnstɪˈtuːʃən/
middle	/ˈmɪdl/
sea	/siː/
dream	/driːm/
bar	/bɑːr/
beautiful	/ˈbjuːtɪfəl/
property	/ˈprɑːpərti/
instead	/ɪnˈstɛd/
improve	/ɪmˈpruːv/
stuff	/stʌf/
detail	/ˈdiːteɪl/
method	/ˈmɛθəd/
somebody	/ˈsʌmbʌdi/
magazine	/ˌmæɡəˈziːn/
hotel	/hoʊˈtɛl/
soldier	/ˈsoʊldʒər/
reflect	/rɪˈflɛkt/
heavy	/ˈhɛvi/
sexual	/ˈsɛkʃuəl/
bag	/bæɡ/
heat	/hiːt/
marriage	/ˈmɛrɪdʒ/
tough	/tʌf/
sing	/sɪŋ/
purpose	/ˈpɜːrpəs/
surface	/ˈsɜːrfɪs/
exist	/ɪɡˈzɪst/
pattern	/ˈpætərn/
whom	/huːm/
skin	/skɪn/
agent	/ˈeɪdʒənt/
owner	/ˈoʊnər/
machine	/məˈʃiːn/
gas	/ɡæs/
ahead	/əˈhɛd/
generation	/ˌdʒɛnəˈreɪʃən/
commercial	/kəˈmɜːrʃəl/
address	/ˈædrɛs/
cancer	/ˈkænsər/
item	/ˈaɪtəm/
reality	/riˈælɪti/
coach	/koʊtʃ/
yard	/jɑːrd/
beat	/biːt/
violence	/ˈvaɪələns/
total	/ˈtoʊtəl/
tend	/tɛnd/
investment	/ɪnˈvɛstmənt/
discussion	/dɪˈskʌʃən/
finger	/ˈfɪŋɡər/
garden	/ˈɡɑːrdən/
notice	/ˈnoʊtɪs/
collection	/kəˈlɛkʃən/
modern	/ˈmɑːdərn/
task	/tæsk/
partner	/ˈpɑːrtnər/
positive	/ˈpɑːzətɪv/
civil	/ˈsɪvəl/
kitchen	/ˈkɪtʃən/
consumer	/kənˈsuːmər/
shot	/ʃɑːt/
budget	/ˈbʌdʒɪt/
wish	/wɪʃ/
painting	/ˈpeɪntɪŋ/
scientist	/ˈsaɪəntɪst/
safe	/seɪf/
agreement	/əˈɡriːmənt/
mouth	/maʊθ/
capital	/ˈkæpɪtl/
nor	/nɔːr/
victim	/ˈvɪktɪm/
newspaper	/ˈnuːzˌpeɪpər/
threat	/θrɛt/
responsibility	/rɪˌspɑːnsəˈbɪləti/
smile	/smaɪl/
attorney	/əˈtɜːrni/
score	/skɔːr/
account	/əˈkaʊnt/
interesting	/ˈɪntrəstɪŋ/
audience	/ˈɔːdiəns/
rich	/rɪtʃ/
dinner	/ˈdɪnər/
vote	/voʊt/
western	/ˈwɛstərn/
relate	/rɪˈleɪt/
travel	/ˈtrævəl/
debate	/dɪˈbeɪt/
prevent	/prɪˈvɛnt/
citizen	/ˈsɪtɪzən/
majority	/məˈdʒɔːrəti/
none	/nʌn/
front	/frʌnt/
born	/bɔːrn/
admit	/ədˈmɪt/
senior	/ˈsiːniər/
assume	/əˈsuːm/
wind	/wɪnd/
key	/kiː/
professional	/prəˈfɛʃənəl/
mission	/ˈmɪʃən/
fast	/fæst/
alone	/əˈloʊn/
customer	/ˈkʌstəmər/
suffer	/ˈsʌfər/
speech	/spiːtʃ/
successful	/səkˈsɛsfəl/
option	/ˈɑːpʃən/
participant	/pɑːrˈtɪsɪpənt/
southern	/ˈsʌðərn/
eventually	/ɪˈvɛntʃuəli/
fresh	/frɛʃ/
forest	/ˈfɔːrɪst/
video	/ˈvɪdioʊ/
global	/ˈɡloʊbəl/
senate	/ˈsɛnət/
reform	/rɪˈfɔrm/
access	/ˈæksɛs/
restaurant	/ˈrɛstəˌrɑnt/
judge	/dʒʌdʒ/
publish	/ˈpʌblɪʃ/
relation	/rɪˈleɪʃən/
release	/rɪˈlis/
bird	/bɜrd/
labor	/ˈleɪbər/
opinion	/əˈpɪnjən/
credit	/ˈkrɛdɪt/
critical	/ˈkrɪtɪkəl/
corner	/ˈkɔrnər/
concerned	/kənˈsɜrnd/
recall	/rɪˈkɔl/
version	/ˈvɜrʒən/
stare	/stɛr/
safety	/ˈseɪfti/
effective	/əˈfɛktɪv/
neighborhood	/ˈneɪbərˌhʊd/
original	/əˈrɪdʒənəl/
troop	/trup/
income	/ˈɪnˌkʌm/
directly	/dəˈrɛktli/
hurt	/hɜrt/
species	/ˈspiʃiz/
immediately	/ɪˈmidiətli/
track	/træk/
basic	/ˈbeɪsɪk/
strike	/straɪk/
sky	/skaɪ/
freedom	/ˈfridəm/
absolutely	/ˌæbsəˈlutli/
plane	/pleɪn/
nobody	/ˈnoʊˌbɑdi/
achieve	/əˈtʃiv/
object	/ˈɑbdʒɛkt/
nine	/naɪn/
attitude	/ˈætɪˌtud/
refer	/rɪˈfɜr/
client	/ˈklaɪənt/
concept	/ˈkɑnsɛpt/
powerful	/ˈpaʊərfəl/
perfect	/ˈpɜrfɪkt/
therefore	/ˈðɛrˌfɔr/
conduct	/ˈkɑndʌkt/
announce	/əˈnaʊns/
conversation	/ˌkɑnvərˈseɪʃən/
examine	/ɪɡˈzæmɪn/
touch	/tʌtʃ/
please	/pliz/
attend	/əˈtɛnd/
completely	/kəmˈplitli/
variety	/vəˈraɪɪti/
sleep	/slip/
involved	/ɪnˈvɑlvd/
investigation	/ɪnˌvɛstɪˈɡeɪʃən/
nuclear	/ˈnukliər/
