the	["the"]
particularly	["par", "tic", "'u", "lar", "ly"]
amount	["a", "'mount"]
ability	["a", "'bil", "i", "ty"]
staff	["staff"]
indicate	["'in", "di", "cate"]
character	["'char", "ac", "ter"]
growth	["growth"]
loss	["loss"]
degree	["de", "'gree"]
wonder	["'won", "der"]
attack	["at", "'tack"]
herself	["her", "'self"]
region	["'re", "gion"]
television	["'tel", "e", "vi", "sion"]
box	["box"]
training	["'train", "ing"]
pretty	["'pret", "ty"]
everybody	["'ev", "ery", "bod", "y"]
trade	["trade"]
election	["e", "'lec", "tion"]
physical	["'phys", "i", "cal"]
lay	["lay"]
general	["'gen", "er", "al"]
feeling	["'feel", "ing"]
standard	["'stan", "dard"]
message	["'mes", "sage"]
fail	["fail"]
bill	["bill"]
outside	["out", "'side"]
arrive	["ar", "'rive"]
analysis	["a", "'nal", "y", "sis"]
benefit	["'ben", "e", "fit"]
sex	["sex"]
forward	["'for", "ward"]
lawyer	["'law", "yer"]
present	["'pres", "ent"]
section	["'sec", "tion"]
environmental	["en", "vi", "ron", "'men", "tal"]
glass	["glass"]
skill	["skill"]
sister	["'sis", "ter"]
pm	["pm"]
professor	["pro", "'fes", "sor"]
operation	["op", "er", "'a", "tion"]
financial	["fi", "'nan", "cial"]
crime	["crime"]
stage	["stage"]
ok	["ok"]
compare	["com", "'pare"]
authority	["au", "'thor", "i", "ty"]
miss	["miss"]
design	["de", "'sign"]
sort	["sort"]
act	["act"]
ten	["ten"]
knowledge	["'now", "ledge"]
gun	["gun"]
station	["'sta", "tion"]
blue	["blue"]
strategy	["'strat", "e", "gy"]
clearly	["'clear", "ly"]
discuss	["dis", "'cuss"]
indeed	["in", "'deed"]
truth	["truth"]
song	["song"]
example	["ex", "'am", "ple"]
democratic	["dem", "o", "'crat", "ic"]
check	["check"]
environment	["en", "'vi", "ron", "ment"]
leg	["leg"]
dark	["dark"]
various	["'var", "i", "ous"]
rather	["'rath", "er"]
laugh	["laugh"]
guess	["guess"]
executive	["ex", "'ec", "u", "tive"]
prove	["prove"]
hang	["hang"]
entire	["en", "'tire"]
rock	["rock"]
forget	["for", "'get"]
claim	["claim"]
remove	["re", "'move"]
manager	["'man", "a", "ger"]
enjoy	["en", "'joy"]
network	["'net", "work"]
legal	["'le", "gal"]
religious	["re", "'li", "gious"]
cold	["cold"]
final	["'fi", "nal"]
main	["main"]
science	["'sci", "ence"]
green	["green"]
memory	["'mem", "o", "ry"]
card	["card"]
above	["a", "'bove"]
seat	["seat"]
cell	["cell"]
establish	["es", "'tab", "lish"]
nice	["nice"]
trial	["'tri", "al"]
expert	["'ex", "pert"]
spring	["spring"]
firm	["firm"]
democrat	["'dem", "o", "crat"]
radio	["'ra", "di", "o"]
visit	["'vis", "it"]
management	["'man", "age", "ment"]
avoid	["a", "'void"]
imagine	["i", "'mag", "ine"]
tonight	["to", "'night"]
huge	["huge"]
ball	["ball"]
yourself	["your", "'self"]
finish	["'fin", "ish"]
theory	["'the", "o", "ry"]
impact	["'im", "pact"]
respond	["re", "'spond"]
statement	["'state", "ment"]
maintain	["main", "'tain"]
charge	["charge"]
popular	["'pop", "u", "lar"]
traditional	["tra", "'di", "tion", "al"]
onto	["'on", "to"]
reveal	["re", "'veal"]
direction	["di", "'rec", "tion"]
weapon	["'wea", "pon"]
employee	["em", "ploy", "'ee"]
contain	["con", "'tain"]
cultural	["'cul", "tur", "al"]
peace	["peace"]
pain	["pain"]
apply	["ap", "'ply"]
wide	["wide"]
measure	["'me", "a", "sure"]
shake	["shake"]
fly	["fly"]
interview	["'in", "ter", "view"]
manage	["'man", "age"]
chair	["chair"]
fish	["fish"]
particular	["par", "'tic", "u", "lar"]
camera	["'cam", "er", "a"]
structure	["'struc", "ture"]
politics	["'pol", "i", "tics"]
bit	["bit"]
perform	["per", "'form"]
weight	["weight"]
suddenly	["'sud", "den", "ly"]
discover	["dis", "'cov", "er"]
candidate	["'can", "di", "date"]
production	["pro", "'duc", "tion"]
treat	["treat"]
evening	["'eve", "ning"]
trip	["trip"]
affect	["a", "'ffect"]
inside	["in", "'side"]
conference	["'con", "fer", "ence"]
unit	["'u", "nit"]
style	["style"]
adult	["a", "'dult"]
worry	["'wor", "ry"]
mention	["'men", "tion"]
range	["range"]
deep	["deep"]
edge	["edge"]
specific	["spe", "'cif", "ic"]
writer	["'writ", "er"]
trouble	["'trou", "ble"]
necessary	["'nec", "es", "sar", "y"]
throughout	["through", "'out"]
challenge	["'chal", "lenge"]
fear	["fear"]
shoulder	["'shoul", "der"]
institution	["in", "sti", "'tu", "tion"]
middle	["'mid", "dle"]
sea	["sea"]
dream	["dream"]
bar	["bar"]
beautiful	["'beau", "ti", "ful"]
property	["'prop", "er", "ty"]
instead	["in", "'stead"]
improve	["im", "'prove"]
stuff	["stuff"]
detail	["de", "'tail"]
method	["'meth", "od"]
somebody	["'some", "bod", "y"]
magazine	["'mag", "a", "zine"]
hotel	["ho", "'tel"]
soldier	["'sol", "dier"]
reflect	["re", "'flect"]
heavy	["'heav", "y"]
sexual	["'sex", "u", "al"]
bag	["bag"]
heat	["heat"]
marriage	["'mar", "riage"]
tough	["tough"]
sing	["sing"]
purpose	["'pur", "pose"]
surface	["'sur", "face"]
exist	["ex", "'ist"]
pattern	["'pat", "tern"]
whom	["whom"]
skin	["skin"]
agent	["'a", "gent"]
owner	["'own", "er"]
machine	["ma", "'chine"]
gas	["gas"]
ahead	["a", "'head"]
generation	["gen", "er", "'a", "tion"]
commercial	["com", "'mer", "cial"]
address	["a", "'dress"]
cancer	["'can", "cer"]
item	["'i", "tem"]
reality	["re", "'al", "i", "ty"]
coach	["coach"]
yard	["yard"]
beat	["beat"]
violence	["'vi", "o", "lence"]
total	["'to", "tal"]
tend	["tend"]
investment	["in", "'vest", "ment"]
discussion	["dis", "'cus", "sion"]
finger	["'fin", "ger"]
garden	["'gar", "den"]
notice	["'no", "tice"]
collection	["col", "'lec", "tion"]
modern	["'mod", "ern"]
task	["task"]
partner	["'part", "ner"]
positive	["'pos", "i", "tive"]
civil	["'civ", "il"]
kitchen	["'kitch", "en"]
consumer	["con", "'sum", "er"]
shot	["shot"]
budget	["'bud", "get"]
wish	["wish"]
painting	["'paint", "ing"]
scientist	["'sci", "en", "tist"]
safe	["safe"]
agreement	["a", "'gree", "ment"]
mouth	["mouth"]
capital	["'cap", "i", "tal"]
nor	["nor"]
victim	["'vic", "tim"]
newspaper	["'news", "pa", "per"]
threat	["threat"]
responsibility	["re", "spon", "si", "bil", "'i", "ty"]
smile	["smile"]
attorney	["at", "'tor", "ney"]
score	["score"]
account	["ac", "'count"]
interesting	["'in", "ter", "est", "ing"]
audience	["'au", "di", "ence"]
rich	["rich"]
dinner	["'din", "ner"]
vote	["vote"]
western	["'west", "ern"]
relate	["re", "'late"]
travel	["'trav", "el"]
debate	["de", "'bate"]
prevent	["pre", "'vent"]
citizen	["'cit", "i", "zen"]
majority	["ma", "'jor", "i", "ty"]
none	["none"]
front	["front"]
born	["born"]
admit	["ad", "'mit"]
senior	["'sen", "ior"]
assume	["as", "'sume"]
wind	["wind"]
key	["key"]
professional	["pro", "'fes", "sion", "al"]
mission	["'mis", "sion"]
fast	["fast"]
alone	["a", "'lone"]
customer	["'cus", "tom", "er"]
suffer	["'suf", "fer"]
speech	["speech"]
successful	["suc", "'cess", "ful"]
option	["'op", "tion"]
participant	["par", "'tic", "i", "pant"]
southern	["'south", "ern"]
eventually	["e", "'ven", "tu", "al", "ly"]
fresh	["fresh"]
forest	["'for", "est"]
video	["'vid", "e", "o"]
global	["'glo", "bal"]
senate	["'sen", "ate"]
reform	["re", "'form"]
access	["'ac", "cess"]
restaurant	["'res", "ta", "rant"]
judge	["'judge"]
publish	["'pub", "lish"]
relation	["re", "'la", "tion"]
release	["re", "'lease"]
bird	["'bird"]
labor	["'la", "bor"]
opinion	["o", "'pin", "ion"]
credit	["'cred", "it"]
critical	["'crit", "i", "cal"]
corner	["'cor", "ner"]
concerned	["con", "'cerned"]
recall	["re", "'call"]
version	["'ver", "sion"]
stare	["'stare"]
safety	["'safe", "ty"]
effective	["ef", "'fec", "tive"]
neighborhood	["'neigh", "bor", "hood"]
original	["o", "'rig", "i", "nal"]
troop	["'troop"]
income	["'in", "come"]
directly	["di", "'rect", "ly"]
hurt	["'hurt"]
species	["'spe", "cies"]
immediately	["im", "'me", "di", "ate", "ly"]
track	["'track"]
basic	["'ba", "sic"]
strike	["'strike"]
sky	["'sky"]
freedom	["'free", "dom"]
absolutely	["'ab", "so", "lute", "ly"]
plane	["'plane"]
nobody	["'no", "bod", "y"]
achieve	["a", "'chieve"]
object	["'ob", "ject"]
nine	["'nine"]
attitude	["'at", "ti", "tude"]
refer	["re", "'fer"]
client	["'cli", "ent"]
concept	["'con", "cept"]
powerful	["'pow", "er", "ful"]
perfect	["'per", "fect"]
therefore	["'there", "fore"]
conduct	["con", "'duct"]
announce	["a", "'nounce"]
conversation	["con", "ver", "'sa", "tion"]
examine	["ex", "'am", "ine"]
touch	["'touch"]
please	["'please"]
attend	["a", "'tend"]
completely	["com", "'plete", "ly"]
variety	["va", "'ri", "e", "ty"]
sleep	["'sleep"]
involved	["in", "'volved"]
investigation	["in", "ves", "ti", "'ga", "tion"]
nuclear	["'nu", "cle", "ar"]
researcher	["re", "'search", "er"]
press	["'press"]
conflict	["'con", "flict"]
spirit	["'spir", "it"]
replace	["re", "'place"]
british	["'brit", "ish"]
encourage	["en", "'cour", "age"]
argument	["'ar", "gu", "ment"]
camp	["'camp"]
brain	["'brain"]
feature	["'fea", "ture"]
afternoon	["'af", "ter", "noon"]
am	["'am"]
weekend	["'week", "end"]
dozen	["'doz", "en"]
possibility	["pos", "si", "'bil", "i", "ty"]
insurance	["in", "'sur", "ance"]
department	["de", "'part", "ment"]
battle	["'bat", "tle"]
beginning	["be", "'gin", "ning"]
date	["'date"]
generally	["'gen", "er", "al", "ly"]
african	["'af", "ri", "can"]
sorry	["'sor", "ry"]
crisis	["'cri", "sis"]
complete	["com", "'plete"]
fan	["'fan"]
stick	["'stick"]
define	["de", "'fine"]
easily	["'ea", "si", "ly"]
hole	["'hole"]
element	["'el", "e", "ment"]
status	["'sta", "tus"]
vision	["'vi", "sion"]
normal	["'nor", "mal"]
chinese	["chi", "'nese"]
ship	["'ship"]
stone	["'stone"]
solution	["so", "'lu", "tion"]
slowly	["'slow", "ly"]
scale	["'scale"]
university	["u", "ni", "'ver", "si", "ty"]
introduce	["in", "tro", "'duce"]
driver	["'dri", "ver"]
attempt	["a", "'tempt"]
park	["'park"]
spot	["'spot"]
lack	["'lack"]
ice	["'ice"]
boat	["'boat"]
drink	["'drink"]
sun	["'sun"]
distance	["'dis", "tance"]
wood	["'wood"]
truck	["'truck"]
handle	["'han", "dle"]
mountain	["'moun", "tain"]
survey	["'sur", "vey"]
supposed	["sup", "'posed"]
tradition	["tra", "'di", "tion"]
winter	["'win", "ter"]
village	["'vil", "lage"]
soviet	["'so", "vi", "et"]
refuse	["re", "'fuse"]
sales	["'sales"]
roll	["'roll"]
communication	["com", "mu", "ni", "'ca", "tion"]
screen	["'screen"]
gain	["'gain"]
resident	["'res", "i", "dent"]
hide	["'hide"]
gold	["'gold"]
club	["'club"]
farm	["'farm"]
potential	["po", "'ten", "tial"]
european	["'eu", "ro", "pe", "an"]
presence	["'pres", "ence"]
independent	["in", "de", "'pen", "dent"]
district	["'dis", "trict"]
shape	["'shape"]
reader	["'read", "er"]
contract	["'con", "tract"]
crowd	["'crowd"]
christian	["'chris", "tian"]
express	["ex", "'press"]
apartment	["a", "'part", "ment"]
willing	["'wil", "ling"]
strength	["'strength"]
previous	["'pre", "vi", "ous"]
band	["'band"]
obviously	["'ob", "vi", "ous", "ly"]
horse	["'horse"]
interested	["'in", "ter", "est", "ed"]
target	["'tar", "get"]
prison	["'pris", "on"]
ride	["'ride"]
guard	["'guard"]
terms	["'terms"]
reporter	["re", "'port", "er"]
demand	["de", "'mand"]
deliver	["de", "'liv", "er"]
text	["'text"]
tool	["'tool"]
wild	["'wild"]
vehicle	["'ve", "hi", "cle"]
observe	["ob", "'serve"]
flight	["'flight"]
facility	["fa", "'cil", "i", "ty"]
understanding	["un", "der", "'stand", "ing"]
average	["'av", "er", "age"]
emerge	["e", "'merge"]
advantage	["ad", "'van", "tage"]
quick	["'quick"]
leadership	["'lead", "er", "ship"]
earn	["'earn"]
pound	["'pound"]
basis	["'ba", "sis"]
bright	["'bright"]
operate	["'op", "er", "ate"]
guest	["'guest"]
sample	["'sam", "ple"]
contribute	["con", "'trib", "ute"]
